name|Price|Raiting|Votes|5|3|Pointer Device|Web Camera|Included Software|HDD Capacity|Keyboard|Brand|Audio I/O Channels|Sales Package|Ideal For|RAID Configurations|
[]|['13']|['Rs. 20,600                ']|['6']|['4.2']|['Dell Vostro 14 3445 Notebook (APU Dual Core E1/ 4GB/ 500GB/ Ubuntu)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['75']|['Rs. 49,999                ']|['37']|['4.5']|['HP Pavilion 15-p077TX Notebook (4th Gen Ci5/ 8GB/ 1TB/ Win8.1/ 2GB Graph) (J6M42PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['36']|['Rs. 23,650                ']|['13']|['4.1']|['Lenovo Essential G505 (59-379446) Laptop (APU Dual Core/ 2GB/ 500GB/ DOS)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['14']|['Rs. 21,000                ']|['7']|['3.4']|['Toshiba Satellite C50A-E0110 Notebook (4th CDC/ 2GB/ 500GB/ Win8.1)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['7']|['Rs. 20,600                ']|['4']|['3.6']|['Lenovo G405(59-415701) G APU Quad Core  -  14 inch, 500 GB HDD, 2 GB DDR3, DOS Laptop']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['23']|['Rs. 44,490                ']|['8']|['3.3']|['Lenovo B50-70 Notebook (4th Gen Ci5/ 8GB/ 1TB/ Win8/ 2GB Graph) (59-427747)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['6']|['Rs. 30,380                ']|['1']|['4.7']|['HP 250 G2 Notebook (3rd Gen Ci3/ 4GB/ 500GB/ Free DOS) (G8Z71PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['4']|['Rs. 24,199                ']|['1']|['4']|['Dell Vostro 14 3445 Notebook (APU Dual Core E1/ 4GB/ 500GB/ Win8.1)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['8']|['Rs. 24,990                ']|['3']|['4.6']|['Dell Inspiron 15 3542 Notebook (4th Gen PDC/ 4GB/ 500GB/ Ubuntu)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['87']|[]|['35']|['4']|['Apple MD101HN/A Macbook Pro MD101HN/A Intel Core i5  -  13 inch, 500 GB HDD, 4 GB DDR3, Mac OS Laptop']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['45']|['Rs. 29,599                ']|['18']|['4.2']|['Lenovo Essential G500 (59-380860) Laptop (3rd Gen Ci3/ 2GB/ 500GB/ DOS)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['26']|[]|['13']|['4']|['Apple MD761HN/B MacBook Air (Ci5/ 4GB/ 256GB Flash/ Mac OS X Mavericks)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['32']|[]|['14']|['4.4']|['HP Pavilion 15-p028TX Notebook (4th Gen Ci3/ 4GB/ 1TB/ Win8.1/ 2 GB Graph) (J2C47PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['30']|['Rs. 38,500                ']|['14']|['4.1']|['Dell Inspiron 15 3521 Laptop (3rd Gen Ci3/ 4GB/ 500GB/ Win8.1/ 1GB Graph/ Touch)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['48']|['Rs. 61,950                ']|['18']|['3.8']|['Lenovo Z50-70 (59-427812) Notebook (4th Gen Ci7/ 8GB/ 1TB/ Win8.1/ 4GB Graph)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
[]|['17']|['Rs. 34,990                ']|['6']|['4.3']|['HP Compaq 15-s007TU Notebook (4th Gen Ci5/ 4GB/ 500GB/ Window 8.1) (J8C02PA)']|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
