"Listing","cost","date","blank","amenities","Address","Bedrooms","Bathrooms","Balconies","Furnished","Possession Status","Floor Number","Total Floors","Units on the Floor ","Carpet/Builtup Area ","Additional Rooms ","Facing ","Overlooking ","Age of Construction ","Transaction Type ","Type of Ownership ","Units Available ","Plot Area ","Possession By",
2 BHK, 600 Sq-ft Builder Floor Apartment For Sale","22.50Lac","Dec2414","VaastuCompliantIntercomFacilityReservedParkingWaterStorageDTHTelevisionFacilityVisitorParking","UTTAM NAGAR, vishwash park, New Delhi - West - 110059","2","2","1","Semi-Furnished","Ready to Move","2 ","4 ","2 ","","","","","","","","Puja Room","","N/A"
4 BHK, 4500 Sq-ft Flat For Sale","50.0Crore(Negotiable)","Dec2414","ROWaterSystemPrivateTerrace/GardenVaastuCompliantPipedGasAirConditionedIntercomFacilityMaintenanceStaffReservedParkingWasteDisposalParkSecurityLaundryServiceWaterStoragePowerBackUpConferenceRoomClubHouseRainWaterHarvestingVisitorParking","Also many more options between 3-7 BHK New Builder Floor Apartments or Independent Houses in Panchsheel Park, Anand Lok, Defence Colony, Hauzkhas Enclave, SDA, Shanti Niketan, Westend, Anand Niketan, Vasant Vihar, Golf Links, Sunder Nagar, Jorbagh, Chanakyapuri etc..., Jor Bagh, New Delhi - South - 110003","4","4","4","Semi-Furnished","Ready to Move","Ground ","4 ","N/A","N/A","","","","Puja Room, Study, Store, Servant Room","East ","Main Road , Garden/Park ","5 to 10 years","","N/A"
4 BHK, 2200 Sq-ft Flat For Sale","2.50Crore(Negotiable)","Dec2414","VaastuCompliantPipedGasIntercomFacilityMaintenanceStaffReservedParkingWasteDisposalParkSecurityLaundryServiceWaterStorageLiftPowerBackUpRainWaterHarvesting","Dwarka sector - 19, Dwarka, Dwarka Sector 19, New Delhi - Dwarka - 110075","4","3","N/A","Semi-Furnished","Ready to Move","5 ","8 ","3 ","N/A","","","","Servant Room","North - East ","Main Road ","5 to 10 years","","N/A"
1 BHK, 539 Sq-ft Flat For Sale","10.51Lac","Dec2414","ParkJoggingandStrollingTrackSecurityWaterStorageLiftPowerBackUpGymnasium","Mahaniyam prathana salai,Mudichur,Manimangalam Road,Tambaram, West,Chennai., tambaram west, New Delhi - Dwarka","1","1","1","Unfurnished","Under Construction","2 ","4 ","N/A","N/A","N/A","N/A","Garden/Park , Main Road ","N/A","New Property","Freehold","136","N/A","N/A"
2 BHK, 80 Sq-yrd Flat For Sale","60.0Lac(Negotiable)","Dec2414","VaastuCompliantPipedGasReservedParkingWasteDisposalParkJoggingandStrollingTrackOutdoorTennisCourtsSecurityWaterStorageRainWaterHarvestingVisitorParking","Janakpuri, New Delhi - West - 110058","2","2","N/A","Semi-Furnished","Ready to Move","1 ","3 ","1 ","N/A","N/A","North - East ","Main Road ","5 to 10 years","Resale","Freehold","1","N/A","N/A"
2 BHK, 650 Sq-ft Builder Floor Apartment For Sale","23.75Lac","Dec2314","VaastuCompliantIntercomFacilityReservedParkingWasteDisposalWaterStorage","uttam nagar, Uttam Nagar, New Delhi - West - 110059","2","1","1","Furnished","Ready to Move","1 ","3 ","2 ","N/A","N/A","East ","N/A","New Construction","New Property","Freehold","3","N/A","N/A"
3 BHK, 1950 Sq-ft Flat For Sale","1.84Crore(Negotiable)","Dec2314","VaastuCompliantPipedGasIntercomFacilityMaintenanceStaffWasteDisposalWaterStorageDTHTelevisionFacilityConferenceRoomService/GoodsLiftVisitorParkingReservedParkingParkSecurityLaundryServiceLiftPowerBackUpRainWaterHarvesting","BRAHMA CGHS DWARKA SECTOR 7, Dwarka Sector 7, New Delhi - Dwarka - 110075","3","3","4","Semi-Furnished","Ready to Move","3 ","10 ","2 ","","","","","Servant Room","East ","Garden/Park ","5 to 10 years","N/A","N/A"
2 BHK, 950 Sq-ft Builder Floor Apartment For Sale","82.0Lac(Negotiable)","Dec2314","VaastuCompliantReservedParkingParkSecurityWaterStorageVisitorParking","Hauz Khas Village, Hauz Khas, New Delhi - South - 110016","2","2","N/A","Semi-Furnished","Ready to Move","1 ","3 ","3 ","","","","","","","","Servant Room","","N/A"
3 BHK, 1650 Sq-ft Flat For Sale","1.55Crore","Dec2214","ROWaterSystemPrivateTerrace/GardenVaastuCompliantPipedGasAirConditionedIntercomFacilityMaintenanceStaffWasteDisposalWaterStorageDTHTelevisionFacilityService/GoodsLiftVisitorParkingCafeteria/FoodCourtParkSecurityLiftPowerBackUpClubHouseRainWaterHarvestingGymnasium","KANAK DURGA APPTS SECTOR 12, Dwarka Sector 12, New Delhi - Dwarka - 110075","3","2","3","Furnished","Ready to Move","3 ","8 ","4 ","N/A","N/A","North - East ","Garden/Park , Main Road ","5 to 10 years","Resale","Freehold","1","N/A","N/A"
3 BHK, 1350 Sq-ft Flat For Sale","3.0Crore","Dec2214","MaintenanceStaffReservedParkingWasteDisposalParkSecurityWaterStorageLiftRainWaterHarvestingVisitorParking","patel nagar, Patel Nagar, New Delhi - West - 110008","3","3","2","Unfurnished","Under Construction","3 ","4 ","N/A","","","","","N/A","Store","North - East ","N/A","N/A","Dec, 15"
3 BHK, 135 Sq-yrd Builder Floor Apartment For Sale","43.0Lac","Dec2114","ROWaterSystemVaastuCompliantReservedParkingWasteDisposalSecurityWaterStorageRainWaterHarvestingVisitorParking","maidan garhi, Maidan Garhi, Chhattarpur, New Delhi - South - 110068","3","2","2","Furnished","Ready to Move","2 ","3 ","N/A","","N/A","","","","North ","Main Road ","N/A","N/A","N/A"
3 BHK, 1733 Sq-ft Flat For Sale","1.07Crore","Dec2114","ROWaterSystemInternet/Wi-FiConnectivityPrivateTerrace/GardenVaastuCompliantPipedGasIntercomFacilityMaintenanceStaffWasteDisposalBanquetHallWaterStorageDTHTelevisionFacilityService/GoodsLiftVisitorParkingReservedParkingParkSecurityLaundryServiceLiftPowerBackUpRainWaterHarvesting","Dwarka Sector 4., Aashirwaad Chowk, Dwarka, New Delhi - Dwarka - 110075","3","2","N/A","Semi-Furnished","Ready to Move","3 ","5 ","3 ","","","","","","","","Store","","N/A"
3 BHK, 1940 Sq-ft Flat For Sale","3.48Crore","Dec2114","ROWaterSystemInternet/Wi-FiConnectivityVaastuCompliantPipedGasAirConditionedIntercomFacilityMaintenanceStaffWasteDisposalWaterStorageDTHTelevisionFacilityConferenceRoomService/GoodsLiftVisitorParkingCafeteria/FoodCourtReservedParkingParkSecurityLaundryServiceLiftPowerBackUpClubHouseRainWaterHarvestingGymnasiumSwimmingPool","CWG, Commonwealth Games Village 2010, Patparganj, New Delhi - East - 110092","3","4","4","Furnished","Ready to Move","4 ","6 ","N/A","N/A","Servant Room","East ","Pool , Garden/Park ","Less than 5 years","Resale","Freehold","15","N/A","N/A"
