
"
 A good book for last month revision.
omitting one star for some mistakes 
verdict you can go for it :) ","25 Jan 2015","A good book for revision","4","Abhishek Kumar","http://www.flipkart.com/jee-main-chemistry-40-days-revision-cum-crash-course-2015-english-5th/product-reviews/itmeyp3wdtkpzqan?pid=9789351762287&srno=b_23&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"This is a very good book. I am using it not only for JEE but it was also handy during the revision for board exams.
However I would certainly not advise this for advance!","02 Apr 2015","Very good!","4","Amit Kumar","http://www.flipkart.com/jee-main-chemistry-40-days-revision-cum-crash-course-2015-english-5th/product-reviews/itmeyp3wdtkpzqan?pid=9789351762287&srno=b_23&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"a so so book for last moment preparation covering all topicd... but i prefer arihant master resource book than this","02 Jan 2015","overall good !!","4","","http://www.flipkart.com/jee-main-chemistry-40-days-revision-cum-crash-course-2015-english-5th/product-reviews/itmeyp3wdtkpzqan?pid=9789351762287&srno=b_23&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"GOOD BOOK FOR LAST MOMENT PREPARATION. A MUST HAVE BOOK FOR JEE MAIN ASPIRANTS. BUY IT FOR REVISION OF WHOLE SYLLABUS.","28 Nov 2014","GOOD","4","AMG","http://www.flipkart.com/jee-main-chemistry-40-days-revision-cum-crash-course-2015-english-5th/product-reviews/itmeyp3wdtkpzqan?pid=9789351762287&srno=b_23&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"The book awwsome , the writer has done a hard work combinig all the graphs in one book , hats-off to Amit Agarwal , I gave JEE Mains 2014 and JEE Advanced 2014 in both the exams , questions asked were easily solved with the techniques and graphs given in this book. !! A must buy for all Competitive Exam Pursuers.. !!","24 Jun 2014","Awwwwsomee.. !!","5","Gunjan Rawal","http://www.flipkart.com/play-graphs-jee-main-advanced-english-7th/product-reviews/itmdv8y2apnuzfsp?pid=9789351418429&srno=b_24&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"
 A good book for math lovers.This book provides an easy way to solve some sort of problems through graphs which we cant solve through theoretical means.Definitely it will be an asset for students preparing for various competitive exams. 
Special Mention:- I know flipkart is fast.....but flipkart reached beyond my expectations.Delivered the product in one and half day! ","04 Nov 2014","Must have book for JEE aspirants.","5","Yashovardhan S...","http://www.flipkart.com/play-graphs-jee-main-advanced-english-7th/product-reviews/itmdv8y2apnuzfsp?pid=9789351418429&srno=b_24&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"arihant Rocks !!!
Do read this book....and your concepts on Graphs Will Be clear...and also a Bit Of Calculus will be clear !!
And the rest is a Surprise for You To Read and find Out !!","31 Mar 2015","Just an Awsome Book !!","5","Atanu Sarkar","http://www.flipkart.com/play-graphs-jee-main-advanced-english-7th/product-reviews/itmdv8y2apnuzfsp?pid=9789351418429&srno=b_24&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"
 as usual, a fine book. even one with little algebra and trigo knowledge can understand graphs clearly. 
 just go for it ","21 Mar 2015","just so simple","5","Pranjal Prashant","http://www.flipkart.com/play-graphs-jee-main-advanced-english-7th/product-reviews/itmdv8y2apnuzfsp?pid=9789351418429&srno=b_24&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"i bought this book a year ago , read through it(not full) , and trust me , it taught me how to play with graphs. now i actually extend the problem( integration , differentiation , quadratic , lpp etc) to graphs and solve it graphically where ever possible.","21 Dec 2014","now i love playing with graphs","5","Sahil Maniar","http://www.flipkart.com/play-graphs-jee-main-advanced-english-7th/product-reviews/itmdv8y2apnuzfsp?pid=9789351418429&srno=b_24&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
"
 it is really good.if u stdy it well, you have a good chance to clear iit jee.flipkart delivery 
was also qiuite good. ","01 Nov 2014","very good book","4","Sangeeth Mukundan","http://www.flipkart.com/play-graphs-jee-main-advanced-english-7th/product-reviews/itmdv8y2apnuzfsp?pid=9789351418429&srno=b_24&ref=7b261910-5ec5-4234-a184-b4af5cb8eeec",
