"name"|"cost"|"discount"|"originalPrice"|"ratings"|"noReviews"|"votes"|"Product Weight"|"Age Group"|"Type"|"Ideal For"|"Number of Contents"|"Size"|"Powered by"|" "|"Product Depth"|"Product Width"|"Country of Manufacture"|"Filling Material"|"Product Height"|"Rechargeable"|"Battery Type"|"Character"|"Series"|"Washable"|"Sound Support"|"Height"|"Width"|"External Material"|" The design of the giraffe may slightly vary from what is shown in the image "|"Depth"|" Ribbons may vary "|" Color may slightly vary. "|" Color and Style of the Bow may vary "|" Exact color of product may vary from the color in the image "|" Customer may get any one of the two product based on availability "|" The bow color of the delivered doll may vary from what is shown in the image "|" The ribbon color and the design may vary from what is shown in the image. "|"Brand"|"Machine Washable"|"With Pillow Cover"|"Ideal Usage"|"Model Name"|"Model ID"|"Color"|"Sales Package"|" The color of bow of the delivered product may vary from what is shown in the image "|" The design of the delivered product may slightly vary from what is shown in the image "|" The color of the product displayed may differ from the actual product, Due to scarcity of this product, color of muffler may vary. "|" Color may slightly vary "|""|ImageURL"
Animal Planet Mommy with Baby - Cheetah and Cub|1799|||5||4|N/A|3 - 15 Years|N/A|Girls, Boys|N/A|24 inch|N/A|N/A|N/A|N/A|China|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Teddy Sitting - 17 Inch|900|30%|1300||||800 g|3 - 99 Years|Teddy Bears|N/A|N/A|17 Inch|N/A|N/A|6 inch|10 inch|India|Polyester Fiber|N/A|N/A|N/A|Teddy Bear|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Play N Pets Doraemon - 13 inch|599|29%|849|4.4|21|82|420 g|1 - 12 Years|Cartoon Characters|Girls, Boys|1|13 inch|N/A|Gentle Machine Wash|7.2 inch|10.2 inch|India|Siliconized Fiber|13 inch|N/A|N/A|Doraemon|N/A|Yes|N/A|N/A|N/A|Polyester Fleece Shell|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Surbhi Teddy Bear - 16.9 inch|800|30%|1150||||735 g|3 - 99 Years|Teddy Bears|N/A|N/A|16.9 inch|N/A|N/A|10 inch|12.8 inch|India|PLOYERSTER FIBER|16.9 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Warner Bros Tweety - 14 Inch|854|5%|899|4.5|||N/A|0 - 12 Years|Cartoon Characters|Girls, Boys|N/A|14 Inch|N/A|Surface Washable, No Electronic Product, No Choking Hazard, Weight - 200 gm|N/A|N/A|China|N/A|N/A|N/A|N/A|Tweety|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Fisher-Price Soothe and Glow Giraffe - 9.5 inch|1199|20%|1499||||4.75 inch|Interactive Soft Toys|Boys, Girls|9.5 inch|N/A|No|2 AA (LR6) Alkaline Batteries|N/A|5.5 inch|9.5 inch|N/A|N/A|0 - 10 Years|Battery|11.81 inch|N/A|N/A|N/A|N/A|10.31 inch|10.13 inch|N/A|900 g|1 Soothe and Glow Giraffe, Batteries Not Included|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Dimpy Stuff Teddy Bear - 23.62 inch|959|20%|1199|4.3|87|364|13 inch|Teddy Bears|Yes|1|23.62 inch|Non Battery|Stuff Toy|Soft Fabric|13.5 inch|19 inch|3 - 15 Years|N/A|India|N/A|N/A|N/A|N/A|Boys, Girls|N/A|N/A|N/A|N/A|N/A|N/A|680 g|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Hasbro Furby Boom Sweet|3899|2%|3999|5||2|719.2 g|6 - 12 Years|Interactive Soft Toys|Boys, Girls|N/A|N/A|Battery|N/A|N/A|N/A|China|N/A|N/A|Yes|4 AA Batteries|N/A|N/A|N/A|N/A|16.73 inch|7.67 inch|N/A|N/A|4.92 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Disney Quacking Donald - 12.5 inch|1799|10%|1999|4.2|1|6|465 g|3 - 10 Years|Cartoon Characters|Boys, Girls|1|12.5 inch|Battery|Batteries Included, Donald Duck|N/A|N/A|China|N/A|N/A|No|3 AA Batteries|Donald Duck|N/A|No|N/A|12.5 inch|7.5 inch|N/A|N/A|6.2 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Pillowpets US Bear - 18 inch|1499|||4.4|||500 g|3 - 15 Years|Cushions & Pillows|Boys, Girls|N/A|18 inch|Non Battery|N/A|9 inch|18.6 inch|N/A|N/A|9.2 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Trudi Whale Jasmine - 12 inch|1999||||||254 g|2 - 6 Years|Pets & Animals|N/A|N/A|12 inch|N/A|N/A|3 inch|5.5 inch|Italy|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Perfect Petzzz Cavalier King Charles Spaniel - 5.21 inch|2699|10%|2999|4.7|2|3|840 g|3 - 15 Years|Pets & Animals|Girls, Boys|N/A|5.21 inch|Battery|1 Cot, 1 Brush, Battery Included, 1 Pet|N/A|N/A|China|N/A|N/A|No|1 Alkaline Battery|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Dimpy Stuff Bear with Honey Pot - 18.89 inch|1199|20%|1499|1||1|950 g|3 - 15 Years|Teddy Bears|Boys, Girls|N/A|18.89 inch|Non Battery|Soft Fabric|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Ty Jazzy - 13 inch|899|||5||1|USA|Pets & Animals|Yes|13 inch|N/A|Non Battery|1 Stuff Toy|N/A|N/A|N/A|3 - 15 Years|N/A|N/A|N/A|N/A|N/A|N/A|Girls, Boys|N/A|N/A|N/A|N/A|N/A|N/A|N/A|214 g|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Trudi Puppet Pig - 6 inch|899|||5||1|0.086 g|2 - 12 Years|Pets & Animals|N/A|N/A|6 inch|N/A|N/A|4 inch|7 inch|Italy|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Soft Buddies Lying Bull Dog XL - 20 inch|899|10%|999||||490 g|3 - 15 Years|Pets & Animals|N/A|N/A|20 inch|N/A|N/A|7 inch|16 inch|India|100% Polyester Staple Fibre|N/A|N/A|N/A|Dog|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Dimpy Stuff Teddy - 37.4 inch|1119|20%|1399|4.4|||18 inch|Teddy Bears|Girls, Boys|1|37.4 inch|Size of Standing Teddy Bear: 37.4 inch, Size of Sitting Teddy Bear: 24.7 inch|N/A|N/A|19 inch|24.7 inch|2 - 12 Years|N/A|India|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|1500 g|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Dimpy Stuff Couple Bear - 7.9 Inch|349|||4.4|57|296|N/A|3 - 5 Years|Teddy Bears|Girls, Boys|1|7.9 Inch|N/A|Environment Friendly Material, Non toxic, Adorable and Huggable, These Two Charming Bears with their Arms Around Each Other and Sweet Smile on their Faces, Machine - Home Washable, Cute and Furry, No Sharp Edges|N/A|N/A|India|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Chhota Bheem|599|||4.1|45|160|250 g|3 - 15 Years|Cartoon Characters|Boys, Girls|N/A|13 inch|N/A|N/A|N/A|N/A|India|N/A|N/A|N/A|N/A|Chhota Bheem|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Dimpy Stuff Teddy Bear - 23.62 inch|959|20%|1199|4.3|87|364|India|Teddy Bears|Yes|1|23.62 inch|Non Battery|Soft Fabric|Stuff Toy|N/A|N/A|3 - 15 Years|N/A|N/A|N/A|N/A|N/A|N/A|Girls, Boys|N/A|N/A|N/A|N/A|N/A|N/A|700 g|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Littles Baby Ball - 4.5 inch|110|63%|299|3.8|38|158|0 inch|Soft Balls|Boys, Girls|4.5 inch|N/A|Size:4.5 Inch|N/A|N/A|0 inch|0 inch|0 - 12 Years|N/A|India|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|53 g|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Dimpy Stuff Bear with Flower Paws - 15 inch|519|20%|649|4.4|13|39|400 g|3 - 15 Years|Teddy Bears|Girls, Boys|N/A|15 inch|Non Battery|Made of Super Soft Fabric|N/A|N/A|India|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Tickles Mother Elephant with 2 Babies - 15 inch|699|30%|999|4.2|15|51|400 g|3 - 6 Years|Pets & Animals|N/A|N/A|Small, 15 inch|N/A|N/A|8 inch|8.5 inch|India|Fiber|14.5 inch|N/A|N/A|N/A|Animal Shop|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Dimpy Soft Dotted Bear - 18.5 inch|699|||4.2|7|36|287 g|3 - 15 Years|Teddy Bears|Boys, Girls|N/A|18.5 inch|Non Battery|Finest High Quality Material, Soft Fabric, Crafted with Environment Friendly Material, Soft and Safe for Children, Machine or Home Washable, Soft Plush Teddy Bear, Adorable and Huggable|5.5 inch|12 inch|N/A|N/A|18.5 inch|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
Disney Marie Animal Tale Range - 10 inch|719|10%|799|4.6|7|34|N/A|0 - 12 Years|Cartoon Characters|Girls, Boys|N/A|10 inch|N/A|N/A|N/A|N/A|China|N/A|10 inch|N/A|N/A|Marie|N/A|N/A|N/A|N/A|N/A|Polyester Fibers, Polyethylene Pellets|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|
